,Type,Duration,Calories,@totalEnergyBurnedUnit,Date,WorkoutRoute
209,Walk,34.23746185104052,191.7657015519336,Cal,2021-01-16 12:47:55,"OrderedDict([('@sourceName', 'BTE-Watch'), ('@sourceVersion', '7.1'), ('@creationDate', '2021-01-16 12:47:57 -0400'), ('@startDate', '2021-01-16 12:13:39 -0400'), ('@endDate', '2021-01-16 12:47:54 -0400'), ('MetadataEntry', [OrderedDict([('@key', 'HKMetadataKeySyncVersion'), ('@value', '2')]), OrderedDict([('@key', 'HKMetadataKeySyncIdentifier'), ('@value', 'A1534023-2C52-4D36-BB87-2557B0EADA25')])]), ('FileReference', OrderedDict([('@path', '/workout-routes/route_2021-01-16_11.47am.gpx')]))])"
210,Strength,30.2576388657093,142.6291834537662,Cal,2021-01-16 13:24:49,
211,Walk,18.15517095128695,66.52089182968045,Cal,2021-01-17 00:08:30,"OrderedDict([('@sourceName', 'BTE-Watch'), ('@sourceVersion', '7.1'), ('@creationDate', '2021-01-17 00:08:30 -0400'), ('@startDate', '2021-01-16 23:50:22 -0400'), ('@endDate', '2021-01-17 00:08:28 -0400'), ('MetadataEntry', [OrderedDict([('@key', 'HKMetadataKeySyncVersion'), ('@value', '2')]), OrderedDict([('@key', 'HKMetadataKeySyncIdentifier'), ('@value', 'F7216AAE-131F-4F8C-A10C-E2A46E2E401C')])]), ('FileReference', OrderedDict([('@path', '/workout-routes/route_2021-01-16_11.08pm.gpx')]))])"
212,Strength,42.08839876651764,394.9225167795047,Cal,2021-01-17 23:23:05,
213,Run,27.63434903224309,467.6148621055823,Cal,2021-01-18 16:17:26,"OrderedDict([('@sourceName', 'BTE-Watch'), ('@sourceVersion', '7.1'), ('@creationDate', '2021-01-18 16:17:28 -0400'), ('@startDate', '2021-01-18 15:49:47 -0400'), ('@endDate', '2021-01-18 16:17:25 -0400'), ('MetadataEntry', [OrderedDict([('@key', 'HKMetadataKeySyncVersion'), ('@value', '2')]), OrderedDict([('@key', 'HKMetadataKeySyncIdentifier'), ('@value', '8A6F6057-C21E-4528-A26E-C861F92E4462')])]), ('FileReference', OrderedDict([('@path', '/workout-routes/route_2021-01-18_3.17pm.gpx')]))])"
214,Walk,7.283888731400172,47.46499999999997,Cal,2021-01-18 16:27:47,"OrderedDict([('@sourceName', 'BTE-Watch'), ('@sourceVersion', '7.1'), ('@creationDate', '2021-01-18 16:27:47 -0400'), ('@startDate', '2021-01-18 16:19:16 -0400'), ('@endDate', '2021-01-18 16:26:05 -0400'), ('MetadataEntry', [OrderedDict([('@key', 'HKMetadataKeySyncVersion'), ('@value', '2')]), OrderedDict([('@key', 'HKMetadataKeySyncIdentifier'), ('@value', 'C2B32E32-8E4B-4089-B6C4-54FC733E1816')])]), ('FileReference', OrderedDict([('@path', '/workout-routes/route_2021-01-18_3.26pm.gpx')]))])"
215,Walk,15.16219039360682,75.18300000000005,Cal,2021-01-18 18:45:57,"OrderedDict([('@sourceName', 'BTE-Watch'), ('@sourceVersion', '7.1'), ('@creationDate', '2021-01-18 18:45:58 -0400'), ('@startDate', '2021-01-18 18:44:31 -0400'), ('@endDate', '2021-01-18 18:45:55 -0400'), ('MetadataEntry', [OrderedDict([('@key', 'HKMetadataKeySyncVersion'), ('@value', '2')]), OrderedDict([('@key', 'HKMetadataKeySyncIdentifier'), ('@value', 'E5492350-84B4-4E78-B608-CBA6FD505E4D')])]), ('FileReference', OrderedDict([('@path', '/workout-routes/route_2021-01-18_5.45pm.gpx')]))])"
216,Walk,29.61659749945005,167.5415419242089,Cal,2021-01-19 16:09:24,"OrderedDict([('@sourceName', 'BTE-Watch'), ('@sourceVersion', '7.1'), ('@creationDate', '2021-01-19 16:09:26 -0400'), ('@startDate', '2021-01-19 15:41:54 -0400'), ('@endDate', '2021-01-19 16:09:21 -0400'), ('MetadataEntry', [OrderedDict([('@key', 'HKMetadataKeySyncVersion'), ('@value', '2')]), OrderedDict([('@key', 'HKMetadataKeySyncIdentifier'), ('@value', '37989057-73B3-49EF-88CD-27052AA1F0A4')])]), ('FileReference', OrderedDict([('@path', '/workout-routes/route_2021-01-19_3.09pm.gpx')]))])"
217,Walk,9.151716448863349,57.24051335984718,Cal,2021-01-19 16:18:49,"OrderedDict([('@sourceName', 'BTE-Watch'), ('@sourceVersion', '7.1'), ('@creationDate', '2021-01-19 16:18:49 -0400'), ('@startDate', '2021-01-19 16:09:38 -0400'), ('@endDate', '2021-01-19 16:18:46 -0400'), ('MetadataEntry', [OrderedDict([('@key', 'HKMetadataKeySyncVersion'), ('@value', '2')]), OrderedDict([('@key', 'HKMetadataKeySyncIdentifier'), ('@value', 'AC6A787C-CEEE-46E3-A019-EEE4941C1BE9')])]), ('FileReference', OrderedDict([('@path', '/workout-routes/route_2021-01-19_3.18pm.gpx')]))])"
218,Walk,11.9131144841512,87.81881219946406,Cal,2021-01-19 16:43:02,"OrderedDict([('@sourceName', 'BTE-Watch'), ('@sourceVersion', '7.1'), ('@creationDate', '2021-01-19 16:43:02 -0400'), ('@startDate', '2021-01-19 16:31:07 -0400'), ('@endDate', '2021-01-19 16:40:00 -0400'), ('MetadataEntry', [OrderedDict([('@key', 'HKMetadataKeySyncVersion'), ('@value', '2')]), OrderedDict([('@key', 'HKMetadataKeySyncIdentifier'), ('@value', 'FE7E6471-69B8-4EBA-A56E-3A84B5C7A55B')])]), ('FileReference', OrderedDict([('@path', '/workout-routes/route_2021-01-19_3.40pm.gpx')]))])"
219,Strength,10.34286231597265,45.97970376622215,Cal,2021-01-19 21:29:15,
220,Strength,41.57539365092914,234.482423211745,Cal,2021-01-19 23:13:24,
